"city","attraction","image_url"
"Rio de Janeiro","Cristo Redentor",""
"Rio de Janeiro","Museu do Amanhã + Porto Maravilha",""
"Rio de Janeiro","Santa Teresa",""
"Rio de Janeiro","Pão de Açúcar",""
"Rio de Janeiro","Ipanema & Leblon",""
"Rio de Janeiro","Pedra do Arpoador",""
"Rio de Janeiro","Maracanã",""
"Rio de Janeiro","Feira de São Cristóvão",""
"Rio de Janeiro","Floresta da Tijuca",""
"Rio de Janeiro","Lapa à noite",""
"Rio de Janeiro","Centro Histórico — Confeitaria Colombo",""
"Rio de Janeiro","Arcos da Lapa & Aqueduto",""
"São Paulo","MASP",""
"São Paulo","Avenida Paulista",""
"São Paulo","Pinacoteca do Estado",""
"São Paulo","Mercadão Municipal",""
"São Paulo","Liberdade",""
"São Paulo","Vila Madalena — Beco do Batman",""
"São Paulo","Ibirapuera",""
"São Paulo","Pinheiros & Fradique",""
"São Paulo","Museu do Futebol",""
"São Paulo","Vila Olímpia à noite",""
"Salvador","Pelourinho",""
"Salvador","Elevador Lacerda",""
"Salvador","Mercado Modelo",""
"Salvador","Acarajé da Dinha",""
"Salvador","Igrejas do Pelourinho",""
"Salvador","Barra & Farol",""
"Salvador","Capoeira Angola",""
"Salvador","Porto da Barra",""
"Salvador","Axé ao vivo no Garcia",""
"Recife","Recife Antigo",""
"Recife","Marco Zero & Paço Alfândega",""
"Recife","Instituto Ricardo Brennand",""
"Recife","Olinda",""
"Recife","Mercado de São José",""
"Recife","Praia de Boa Viagem",""
"Recife","Cais do Sertão",""
"Recife","Casa da Cultura",""
"Recife","Frevo no Paço do Frevo",""
"Recife","Jantar de frutos do mar",""
"Fortaleza","Praia de Iracema",""
"Fortaleza","Beach Park",""
"Fortaleza","Mercado Central",""
"Fortaleza","Praia do Futuro",""
"Fortaleza","Dragão do Mar",""
"Fortaleza","Acquário Ceará",""
"Fortaleza","Jericoacoara (day trip)",""
"Fortaleza","Cumbuco (day trip)",""
"Manaus","Teatro Amazonas",""
"Manaus","Encontro das Águas",""
"Manaus","Mercado Municipal Adolpho Lisboa",""
"Manaus","Tour de 2 dias na selva",""
"Manaus","Praia da Ponta Negra",""
"Manaus","Palacete Provincial",""
"Florianópolis","Lagoa da Conceição",""
"Florianópolis","Praia da Joaquina",""
"Florianópolis","Santo Antônio de Lisboa",""
"Florianópolis","Praia Mole",""
"Florianópolis","Costa da Lagoa",""
"Florianópolis","Fortaleza de São José",""
"Natal","Dunas de Genipabu",""
"Natal","Ponta Negra",""
"Natal","Forte dos Reis Magos",""
"Natal","Praia da Pipa",""
"Natal","Museu Câmara Cascudo",""
"Foz do Iguaçu","Cataratas do Iguaçu — lado brasileiro",""
"Foz do Iguaçu","Cataratas do Iguaçu — lado argentino",""
"Foz do Iguaçu","Parque das Aves",""
"Foz do Iguaçu","Itaipu Binacional",""
"Foz do Iguaçu","Marco das Três Fronteiras",""
"Tóquio","Senso-ji (Asakusa)",""
"Tóquio","Tsukiji — sushi de manhã",""
"Tóquio","Shibuya Crossing",""
"Tóquio","Meiji Jingu",""
"Tóquio","Harajuku — Takeshita Street",""
"Tóquio","Akihabara",""
"Tóquio","Yanaka",""
"Tóquio","teamLab Borderless",""
"Tóquio","Tokyo Skytree",""
"Tóquio","Shinjuku — Golden Gai à noite",""
"Tóquio","Ramen no Ichiran",""
"Tóquio","Tokyo Skytree + Asakusa",""
"Kyoto","Fushimi Inari",""
"Kyoto","Kinkaku-ji",""
"Kyoto","Arashiyama — Floresta de Bambu",""
"Kyoto","Gion ao entardecer",""
"Kyoto","Nishiki Market",""
"Kyoto","Caminho do Filósofo",""
"Kyoto","Nijo Castle",""
"Kyoto","Nanzen-ji",""
"Kyoto","Cerimônia do Chá",""
"Kyoto","Pontocho à noite",""
"Osaka","Dotonbori",""
"Osaka","Castelo de Osaka",""
"Osaka","Kuromon Market",""
"Osaka","Den Den Town",""
"Osaka","Shinsekai",""
"Osaka","Namba e Shinsaibashi à noite",""
"Paris","Louvre",""
"Paris","Musée d'Orsay",""
"Paris","Torre Eiffel",""
"Paris","Montmartre & Sacré-Cœur",""
"Paris","Le Marais",""
"Paris","Versalhes (day trip)",""
"Paris","Sainte-Chapelle",""
"Paris","Jardim de Luxemburgo",""
"Paris","Bistrô clássico à noite",""
"Paris","Centro Pompidou",""
"Roma","Coliseu",""
"Roma","Fórum Romano & Palatino",""
"Roma","Vaticano — Museus e Sistina",""
"Roma","Fontana di Trevi",""
"Roma","Piazza Navona",""
"Roma","Panthéon",""
"Roma","Trastevere à noite",""
"Roma","Galleria Borghese",""
"Roma","Castelo Sant'Angelo",""
"Roma","Campo de' Fiori — mercado",""
"Barcelona","Sagrada Família",""
"Barcelona","Park Güell",""
"Barcelona","Bairro Gótico",""
"Barcelona","La Boqueria",""
"Barcelona","Casa Batlló & La Pedrera",""
"Barcelona","Barceloneta",""
"Barcelona","El Born",""
"Barcelona","Museu Picasso",""
"Barcelona","Montjuïc ao pôr do sol",""
"Barcelona","Carrer de Blai à noite",""
"Lisboa","Alfama",""
"Lisboa","Belém — Mosteiro dos Jerônimos",""
"Lisboa","Pastéis de Belém",""
"Lisboa","LX Factory",""
"Lisboa","Sintra (day trip)",""
"Lisboa","Miradouro da Graça",""
"Lisboa","Chiado",""
"Lisboa","Fado ao vivo em Alfama",""
"Lisboa","Tasca de bacalhau",""
